GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tco,com.tco.requests,FindRequest,13,73,4,4,4,22,4,6,0,6
tco,com.tco.requests,ConfigRequest,0,51,0,0,0,14,0,5,0,5
tco,com.tco.requests,Request,0,6,0,0,0,2,0,2,0,2
tco,com.tco.requests,DistancesRequest,0,187,0,4,0,31,0,7,0,5
tco,com.tco.requests,TourRequest,0,126,0,0,0,30,0,5,0,5
tco,com.tco.server,WebApplication,11,81,1,9,4,17,1,8,0,4
tco,com.tco.server,MicroServer,39,155,3,1,5,50,5,11,3,11
tco,com.tco.misc,BadRequestException,3,0,0,0,1,0,1,0,1,0
tco,com.tco.misc,GreatCircleDistance,0,88,0,0,0,12,0,1,0,1
tco,com.tco.misc,SQLAccess,3,0,0,0,1,0,1,0,1,0
tco,com.tco.misc,SQLAccess.Report,18,0,2,0,5,0,3,0,2,0
tco,com.tco.misc,SQLAccess.Place,0,3,0,0,0,1,0,1,0,1
tco,com.tco.misc,SQLAccess.Credential,3,5,0,0,1,3,1,2,1,2
tco,com.tco.misc,SQLAccess.Select,3,20,0,0,1,3,1,3,1,3
tco,com.tco.misc,JSONValidator,0,84,0,0,0,15,0,2,0,2
tco,com.tco.misc,NearestNeighbor,5,416,2,38,0,69,2,26,0,8
tco,com.tco.misc,SQLAccess.Places,0,3,0,0,0,1,0,1,0,1
tco,com.tco.misc,SQLAccess.Database,17,157,2,6,7,28,3,6,1,4
